ID,ORGANIZATION_NAME,ORGANIZATION_TYPE,STREET_ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE,NUMBER_OF_LIGHTS,PRAYERS,LISTEN_EVENTS,EAT_EVENTS,SERVE_EVENTS,SHARE_YOUR_STORY_EVENTS,ACCOUNT_TYPE
318,Garden Ranch Baptist Church,Church,3830 Van Teylingen Dr,Colorado Springs,CO,80917,38.8868488,-104.7608935,0,0,0,0,0,0,Free account
327,Sterling Baptist Church,Church,9204 Bunkum Road,Fairview Heights,IL,62208,38.612841,-90.026585,4,144,0,0,0,0,Free account
339,Metro East Baptist Association,Association,4950 Old Collinsville Rd,Swansea,IL,62226,38.5721739,-89.965457,6,685,368,0,0,364,Free account
349,"Southeastern District, LCMS",Association,6315 Grovedale Drive,Alexandria,VA,22310,38.7797937,-77.1488058,46,35822,454,2,4,386,Free account
352,Calvary Baptist Church - Alton,Church,1422 Washington Ave,Alton,IL,62002,38.8993559,-90.1501769,0,0,0,0,0,0,Free account
360,Southeastern District,Church,6315 Grovedale Dr,Alexandria,VA,22310,38.779682,-77.1488679,0,0,0,0,0,0,Free account
366,Okaloosa Baptist Association,Church,"102 Edney Avenue, East",Crestview,FL,32539,30.7514447,-86.5629412,0,0,0,0,0,0,Free account
369,Long Beach Harbor Baptist Association,Church,4508-A Atlantic Ave #101,Long Beach,CA,90807,33.8403035,-118.1843835,0,0,0,0,0,0,Free account
370,Student Ministries,Church,8347 Valley View Dr,Overland Park,KS,66204,38.9769409,-94.673646,0,0,0,0,0,0,Free account
391,Heights Baptist Church,Church,2401 Jefferson Dr,Liberty,TX,77575,30.073959,-94.7920029,1,0,0,0,0,0,Paid account
403,CPC NAMB NYC Research,Church,34 15 Parsons Blvd,Flushing,NY,11354,40.7663981,-73.8232553,0,0,0,0,0,0,Free account
404,Calvary University,Church,15800 Calvary Rd,Kansas City,MO,64147,38.8409645,-94.5479815,1,0,0,0,0,0,Free account
406,Trinity Lutheran Church,Church,3802 N. Olive St.,North Little Rock,AR,72116,34.790554,-92.262644,0,0,0,0,0,0,Free account
417,Scenic Hills Baptist Church,Church,#10 Old Highway 25,Travelers Rest,SC,29690,35.0998534,-82.4486135,0,0,0,0,0,0,Free account
424,Gulf Coast Baptist Association,Association,11201 Old Highway 49,Gulfport,MS,39503,30.4466782,-89.1022646,2,454,368,0,0,364,Free account
426,Parkway Baptist Church,Church,8508 Beaver Bridge Road,Moseley,VA,23120,37.3848993,-77.7609559,46,55588,37,0,0,17,Free account
437,Northstar Church Network,Church,7100 Columbia Pike,Annandale,VA,22003,38.8333,-77.190443,0,0,0,0,0,0,Free account
4549,Cana Baptist Church,Church,2309 E RENFRO ST,Burleson,TX,76028,32.5204757,-97.2638601,2,0,0,0,0,0,Free account
5909,Rejoice in the Lord Ministries - Apopka FL,Church,8053 Gilliam Rd,Apopka,FL,32703,28.627516,-81.493472,2,1470,5,0,0,4,Free account
5922,Watermark Church Plano,Church,7540 Lyndon B Johnson Fwy,Dallas,TX,75251,32.9228905,-96.7783031,2,78,0,0,0,0,Free account
5932,Decatur Baptist Church - AL,Church,2527 Danville Road,Decatur,AL,35603,34.5634799,-87.0190358,6,4037,23,0,0,11,Free account
5945,New Covenant Anglican Church - FL,Church,800 Tuskawilla Rd,Winter Springs,FL,32708,28.671077,-81.275167,1,0,0,0,0,0,Free account
5968,Redeemer Lutheran,Church,3799 East West Highway,Hyattsville,MD,20782,38.96575,-76.950446,0,0,0,0,0,0,Free account
5971,Redeemer Lutheran Church-Fredericksburg VA,Church,5120 Harrison Rd.,Fredericksburg,VA,22408,38.2677395,-77.5122677,2,11,0,0,0,0,Free account
5973,Trinity Lutheran Church - Henrico VA,Church,2315 North Parham Road,Henrico,VA,23229,37.6217907,-77.5557258,1,0,0,0,0,0,Free account
5977,SBTEXAS - Caleb,Church,4500 State Hwy 360,Irving,TX,76051,32.7178054,-97.0628396,0,0,0,0,0,0,Free account
6026,Gateway Church - Ruckersville VA,Church,105 Progress Place,Ruckersville,VA,22968,38.2429721,-78.3887156,0,0,0,0,0,0,Free account
6057,St. Pauls Evangelical Church - St. Louis,Church,9801 Olive Blvd,St. Louis,MO,63141,38.6733502,-90.3954593,34,64693,318,11,33,73,Free account
6088,Storyline Church,Church,2620 Walnut St,Denver,CO,80205,39.75939,-104.9856446,0,0,0,0,0,0,Free account
6117,Inglewood Baptist Church,Church,1901 S. Carrier Parkway,Grand Prairie,TX,75051,32.717939,-97.013587,11,2980,28,0,0,19,Free account
6122,Discovery Baptist Church - NY,Church,159 Harriman Heights Rd,Harriman,NY,10926,41.2953754,-74.1665752,0,0,0,0,0,0,Free account
6126,Gateway Church - Southlake TX,Church,700 Blessed Way,Southlake,TX,76092,32.9497529,-97.1266495,3,218,0,0,0,0,Free account
6138,FBC Garden City GA,Church,35 Nelson Ave,Garden City,GA,31408,32.1117616,-81.15085,2,51,4,0,0,2,Free account
6141,First Baptist Church Seguin,Church,1314 E Cedar St.,Seguin,TX,78155,29.5793028,-97.945598,8,14158,26,5,1,5,Paid account
6146,Northland Work File - Longwood FL,Church,530 Dog Track Rd,Longwood,FL,32750,28.6860998,-81.3364109,1,8,0,0,0,0,Free account
6150,Royal Haven Baptist Church - TX,Church,3700 Valley View Ln.,Farmers Branch,TX,75244,32.9237615,-96.855396,1,2504,0,0,0,0,Free account
6151,Dutchtown Baptist Church - LA,Church,36495 C Brand Road,Prairieville,LA,70769,30.2827357,-90.9807638,2,36,2,0,0,0,Free account
6166,Bridge Network,Church,"1407 Stephanie Way, Ste F",Chesapeake,VA,23320,36.774507,-76.235061,1,513,0,0,0,0,Free account
6175,Cape Christian Church,Church,2110 Chiquita Blvd S,Cape Coral,FL,33991,26.6128623,-82.0084267,2,22,0,0,0,0,Free account
6183,Christ Fellowship - UT,Church,3616 S 3340 W,West Valley City,UT,84119,40.693634,-111.971531,0,0,0,0,0,0,Free account
6184,Global Gates,Church,236 W 72nd St,New York,NY,10023,40.7790522,-73.9833406,13,2232,20,0,0,9,Paid account
6190,FBC Kaufman,Church,7046 Fm 1388,Kaufman,TX,75142,32.5140886,-96.3279806,37,1771,29,3,32,3,Free account
6221,Fellowship Community Church - VA,Church,1226 Red Lane Extension,Salem,VA,24153,37.3089848,-80.0687535,131,106292,1354,82,684,191,Free account
6263,McLean Bible Church - Vienna,Church,8925 Leesburg Pike,Vienna,VA,22182,38.9405749,-77.2552307,29,11974,60,0,0,32,Free account
6283,Tulsa Metro Baptist Network,Association,4502 E 29th St,Tulsa,OK,74114,36.120842,-95.925089,67,21878,412,0,3,385,Free account
6309,Harvest Bible Chapel,Church,52277 Hickory Rd.,Granger,IN,46530,41.7319474,-86.1989167,4,2503,2,0,0,1,Free account
6310,Sheridan Hills Baptist Church - FL,Church,3751 Sheridan Street,Hollywood,FL,33021,26.033721,-80.180626,91,33482,100,27,11,42,Paid account
6314,Downtown Baptist Church - Orlando,Church,120 E Pine St,Orlando,FL,32801,28.5408622,-81.3761946,9,337,6,0,0,2,Free account
6318,Church of our Savior - Norridge IL,Church,4701 Canfield Dr,Norridge,IL,60706,41.9652337,-87.8265709,0,0,0,0,0,0,Free account
6335,Crosspoint Church - Niceville,Church,214 Partin Dr S,Niceville,FL,32578,30.5179335,-86.4835566,0,0,0,0,0,0,Free account
6345,ONE_HEART-DC,Association,3910 Lorcom Ln,Arlington,VA,22207,38.9015665,-77.1086448,875,551411,2397,253,381,1160,Free account
6366,The Cape Fear Network of Baptist Churches,Association,610 S College Road,Wilmington,NC,28403,34.226386,-77.881043,343,217450,1112,4,3,679,Paid account
6920,Balwin Park Prays,Association,3914 Ethan Ln,Orlando,FL,32814,28.571755,-81.336447,15,7311,690,0,0,531,Free account
6926,Vine and Branches Lutheran Church - VA,Church,25050 Riding Plaza Suite 130 Box 652,South Riding,VA,20152,38.912784,-77.538942,1,0,0,0,0,0,Free account
6927,Kure Beach First Baptist Church,Church,208 S. 6th Avenue,Kure Beach,NC,28449,33.9968144,-77.9107125,2,10067,10,0,0,2,Free account
6942,Word of Life International Church,Church,21630 Ridgetop Cir Suite 160,Sterling,VA,20166,39.027156,-77.409059,32,13383,20,0,0,8,Free account
6945,Glenwood Baptist Church,Church,5400 Charles Page Blvd,Tulsa,OK,74127,36.1480633,-96.0535058,0,0,0,0,0,0,Free account
6951,Slavic Evangelical Church Bethany,Church,400 E Pike St,Seattle,WA,98122,47.6142392,-122.3263239,0,0,0,0,0,0,Free account
6965,Mount Carmel Baptist Church - AR,Church,163 Mount Carmel Road,Cabot,AR,72023,34.9381149,-92.0055131,1,0,0,0,0,0,Free account
6966,Saddleback Church - Lake Forest,Church,1 Purpose Dr,Lake Forest,CA,92630,33.663574,-117.6523232,1,20,0,0,0,0,Free account
6968,Southwestern Seminary,Church,2001 West Seminary Drive,Fort Worth,TX,76122,32.6820686,-97.3480458,0,0,0,0,0,0,Free account
6973,Turning Point CITI Church - IL,Church,944 Stony Point Rd,Dixon,IL,61021,41.8520869,-89.4504746,21,42756,31,0,0,8,Free account
6974,College Acres Baptist Church - NC,Church,702 Eastwood Rd,Wilmington,NC,28403,34.2401828,-77.8560997,18,19005,54,0,0,13,Free account
6987,Every Home for Christ,Association,640 Chapel Hills Drive,Colorado Springs,CO,80920,38.957427,-104.785271,23,14203,579,0,0,489,Free account
6988,Sherwood Baptist Church,Church,2201 Whispering Pines Rd,Albany,GA,31707,31.6066327,-84.1991071,20,46505,78,0,0,39,Free account
6989,Sherwood Baptist Church - Albany,Church,2201 Whispering Pines Rd,Albany,GA,31707,31.6066327,-84.1991071,1,1641,0,0,0,0,Free account
7004,DeLand Sanctuary Association,Association,401 east taylor road,DeLand,FL,32724,28.9997551,-81.2957136,267,89988,759,1,2,576,Free account
7046,Trinity Family of Faith Lutheran Church - KS,Church,16928 Evans Rd,Basehor,KS,66007,39.103162,-94.971821,1,46,0,0,0,0,Free account
7052,West City Fellowship,Church,3801 West Braddock Road,Alexandria,VA,22302,38.827977,-77.0951824,4,159,0,0,0,0,Free account
7054,Nashville Baptist Association TN,Church,420 Main St.,Nashville,TN,37206,36.1725207,-86.7654463,1,52,3,2,1,0,Free account
7065,Transformation Jacksonville,Association,4130 Salisbury Rd. #1120,Jacksonville,FL,32216,30.2539472,-81.5960546,222,114419,1005,20,26,631,Free account
7066,Potter&#039;s House - Northside,Church,"7137 N Main St,",Jacksonville,FL,32208,30.3844163,-81.6487652,0,0,0,0,0,0,Free account
7074,Decatur Baptist Church - AL-?OLD,Church,2527 Danville Road SW,Decatur,AL,35603,34.5634799,-87.0190358,0,0,0,0,0,0,Free account
7081,DeLand Sanctuary Church of God,Church,401 East Taylor Road,DeLand,FL,32724,28.9997551,-81.2957136,250,83074,69,1,2,37,Free account
7093,Church Alive - FL,Church,3700 Dike Rd,Winter Park,FL,32792,28.637634,-81.280604,0,0,0,0,0,0,Free account
7103,Tampa Muslim Outreach,Church,218 E. Bearss Ave. #346,Tampa,FL,33613,28.0893913,-82.4589157,2,15,0,0,0,0,Free account
7108,Handley Baptist Church,Church,6801 Church St,Fort Worth,TX,76112,32.733795,-97.2139776,0,38,0,0,0,0,Free account
7122,"Cross Church, Springdale Campus",Church,1709 Johnson Rd,Springdale,AR,72762,36.168586,-94.1547609,12,24452,7,0,0,6,Free account
7130,First Assembly Deland,Church,551 S Kepler Rd,Deland,FL,32724,29.0193159,-81.2596753,47,53789,108,1,1,110,Free account
7135,"Cross Church, Pinnacle Hills",Church,2448 S Pinnacle Hills Pkwy,Rogers,AR,72758,36.3138904,-94.1863342,0,0,0,0,0,0,Free account
7136,"Cross Church, Fayetteville Campus",Church,3484 W Wedington Dr,Fayetteville,AR,72704,36.0790222,-94.2102209,2,8702,3,0,0,0,Free account
7137,"Cross Church, Fayetteville East Campus",Church,613 S College Ave,Fayetteville,AR,72701,36.0561104,-94.1584145,0,0,0,0,0,0,Free account
7139,Pleasant Grove Christian Church,Church,1324 Pleasant Drive,Dallas,TX,75217,32.735399,-96.677824,2,0,0,0,0,0,Free account
7158,Connect Church Northshore - LA,Church,4 Greenleaf Ln,Covington,LA,70420,30.6123636,-90.0829901,0,0,0,0,0,0,Free account
7159,Connection Church Northshore - LA,Church,1133 N. Lee Rd Covington LA 70433,Covington,LA,70435,30.4880282,-90.0928115,0,0,0,0,0,0,Free account
7165,Revival Baptist Ministries International - VA,Church,8174 Richmond Hwy,Alexandria,VA,22309,38.7357277,-77.0968614,0,0,0,0,0,0,Free account
7172,Intimate Life Ministries,Church,2511 S Lakeline Blvd,Cedar Park,TX,TX,30.4755377,-97.8164007,0,0,0,0,0,0,Free account
7181,Hope Baptist Church,Church,1401 Greenfield St,Wilmington,NC,28401,34.218462,-77.929067,3,760,2,0,0,0,Free account
7187,Westside Family Association,Association,8500 Woodsonia Dr,Lenexa,KS,66227,38.9727465,-94.8517127,338,149182,1782,25,103,604,Paid account
7193,Ethiopian Christian Fellowship Church - LA,Church,3405 W. Pico Blvd,Los Angeles,CA,90019,34.0473803,-118.317937,2,30,0,0,0,0,Paid account
7197,York Baptist Association,Association,434 Museum Rd,Rock Hill,SC,29732,34.9871942,-81.0648197,55,40719,589,0,0,515,Free account
7201,Grace Baptist Church - PA,Church,4463 PA-136,Greensburg,PA,15601,40.2859751,-79.5885953,0,0,0,0,0,0,Free account
7206,Bridge Church,Church,133 Mabel Dr,Madisonville,LA,70447,30.397872,-90.156567,3,366,6,0,0,2,Free account
7218,Salt Lake Baptist Assn - UT,Association,PO Box 18894,Salt Lake City,UT,84118,40.6479987,-112.0059052,5,1318,370,0,0,366,Free account
7224,Christian Fellowship Church,Church,44505 Atwater Dr,Ashburn,VA,20147,39.057688038,-77.460611927,16,7344,79,7,7,27,Free account
7231,Eastanallee Church - TN,Church,482 County Rd 725,Riceville,TN,37370,35.3618025,-84.6761572,1,107,0,0,0,0,Free account
7242,What if the Church - KC,Association,8500 Woodsonia Dr,Lenexa,KS,66227,38.9727465,-94.8517127,596,309902,2245,72,124,717,Paid account
7244,Holy Neck Christian Church - VA,Church,4400 Holy Neck Rd,Suffolk,VA,23437,36.611043,-76.783289,0,0,0,0,0,0,Free account
7246,First Baptist Church of Watauga - TX,Church,6124 Plum St,Watauga,TX,76148,32.8593008,-97.2616308,2,30,0,0,0,0,Free account
7251,Carey Baptist Association - LA,Association,1701 W. Prien Lake Rd,Lake Charles,LA,70601,30.1971681,-93.2453796,22,18969,731,0,0,536,Free account
7255,Heartland Community Church,Church,12175 S Strang Line Rd,Olathe,KS,66062,38.9079408,-94.7728516,46,22857,182,20,7,49,Free account
7256,Journey Bible Church,Church,13700 W 151st St,Olathe,KS,66062,38.8559607,-94.7449515,17,9982,23,0,0,10,Paid account
7264,Roanoke Baptist Assoc - VA,Association,3926 Plantation Rd NE,Roanoke,VA,24012,37.3115964,-79.9332058,148,123285,1756,82,687,610,Free account
7271,Lutheran High School North - MO,Church,5401 Lucas and Hunt Road,St. Louis,MO,63121,38.7155592,-90.2826237,0,0,0,0,0,0,Free account
7275,Bluegrass Baptist Church,Church,210 New Coleman Lane,Georgetown,KY,40324,38.163563756,-84.55244265,65,0,0,0,0,0,Paid account
7277,Ethiopian Evangelical Church - Allen,Church,1309 E Main St,Allen,TX,75002,33.1011398,-96.6379059,0,0,0,0,0,0,Free account
7286,Clark County Baptist Association,Association,16183 Hwy 43,Grove Hill,AL,36451,31.7170276,-87.7804492,3,462,368,0,0,364,Free account
7288,COG - Dearborn Church Plant,Church,1865 Nowlin St,Dearborn,MI,48124,42.2981522,-83.2564583,0,0,0,0,0,0,Free account
7297,FBC Siloam Springs AR,Church,2000 Dawn Hill Rd,Siloam Springs,AR,72761,36.201589,-94.541854,0,0,0,0,0,0,Free account
7299,Reclaim Church,Church,9948 W. 87th St,Overland Park,KS,66212,38.9717399,-94.7025304,2,18966,11,0,0,0,Paid account
7305,"Second Baptist Church, Woodway Campus",Church,6400 Woodway Drive,Houston,TX,77057,29.757694,-95.499094,3,206,8,0,0,7,Free account
7306,Third Baptist Church of San Francisco,Church,1399 McAllister Street,San Francisco,CA,94115,37.7778745,-122.4347492,0,0,0,0,0,0,Free account
7309,Living Word Christian Center,Church,1401 Government St,Mobile,AL,36604,30.6810575,-88.0692922,0,0,0,0,0,0,Free account
7313,Reston Bible Church,Church,45650 Oakbrook Court,Sterling,VA,20166,39.012722,-77.417425,58,18630,113,17,27,35,Free account
7315,Trinity Baptist Church,Church,1800 Country Club Road,Lake Charles,LA,70605,30.170552,-93.24704,1,0,0,0,0,0,Free account
7316,Draper Ministries,Church,303 Wilnette Spring DR,Racine,WI,53405,42.729449,-87.818214,0,0,0,0,0,0,Free account
7319,Colonial Presbyterian Church,Church,9500 Wornall Rd,Kansas City,MO,64114,38.9555291,-94.5967193,24,21758,11,0,2,3,Paid account
7327,Church on the Drive,Church,1914 Edgewater Drive,Orlando,FL,32804,28.5691464,-81.3899132,1,90,0,0,0,0,Free account
7331,Colonial Presbyterian Church,Church,12501 137th St,Overland Park,KS,66221,38.8810301,-94.7304826,30,7438,31,3,0,12,Paid account
7334,First Baptist Church of Haughton,Church,105 East Washington Avenue,Haughton,LA,71037,32.5316146,-93.5015689,135,39278,147,0,0,109,Free account
7335,Bethel Baptist Church,Church,230 Washington Street,West Monroe,LA,71292,32.4865873,-92.1760733,2,355,0,0,0,0,Free account
7336,First Baptist Church,Church,,Dry Prong,LA,71423,31.581057,-92.5301353,6,303,7,0,0,6,Free account
7337,Beauregard Baptist Association - LA,Association,735 West Drive,DeRidder,LA,70634,30.8539423,-93.2939478,16,3111,688,0,0,535,Free account
7338,First West - West Monroe Campus,Church,311 Mill St,West Monroe,LA,71291,32.5014367,-92.1288577,95,60203,105,1,1,32,Free account
7343,Occoquan Bible Church,Church,3700 Old Bridge Road,Woodbridge,VA,22192,38.6806112,-77.3229851,21,2716,34,0,0,11,Free account
7345,Mt Olivet Baptist Church,Church,14320 US 84,Logansport,LA,71049,31.960121,-93.917285,3,111,0,0,0,0,Free account
7346,New Life Community Church,Church,20116 Louisiana 1081,Covington,LA,70435,30.5775654,-90.0725111,17,1568,3,0,0,0,Free account
7349,First Baptist Church - Mandeville,Church,1895 U.S. 190,Mandeville,LA,70448,30.3739947,-90.0752907,51,41968,56,0,0,17,Free account
7352,Restoration Fellowship Church of Lakeland,Church,2600 Crutchfield Rd,Lakeland,FL,33815,28.056796,-81.996347,6,2207,19,0,0,15,Free account
7356,Franklin Baptist Association - KY,Church,457 versailles rd,fankfort,KY,40601,38.1938722,-84.82772,0,0,0,0,0,0,Free account
7357,Desoto Baptist Association - LA,Association,143 Taylor Road,Natchitoches,LA,71457,31.7455556,-93.1249409,11,14150,683,0,0,529,Free account
7358,Seminole Heights Baptist Church,Church,801 E Hillsborough Ave,Tampa,FL,33604,27.9958352,-82.4526928,0,0,0,0,0,0,Free account
7360,Well of Refuge Gospel Church,Church,1605 Sotogrande Blvd,Hurst,TX,76053,32.8170451,-97.1409343,0,0,0,0,0,0,Free account
7364,Pleasant Grove Baptist Church Moulton,Church,11450 Hwy33,Moulton,AL,35650,34.4372096,-87.2919781,23,64,1,0,0,0,Free account
7365,Cherry Grove Baptist Church,Church,104 Cherry Grove Road,Jonesborough,TN,37659,36.2126736,-82.4488232,8,1222,15,0,0,15,Free account
7368,Tennessee Avenue Christian Academy,Church,826 Tennessee Avenue,Bristol,TN,37620,36.5859484,-82.1739778,0,0,0,0,0,0,Free account
7369,Gloster Baptist,Church,P.O. Box 86,Gloster,LA,71030,32.1973279,-93.7943157,1,268,0,0,0,0,Free account
7381,Louisiana Baptist Convention,Association,1250 McArthur Drive,Alexandria,LA,71303,31.2874181,-92.4763577,1617,863335,3447,8,19,1616,Free account
7382,"St. Paul Lutheran Church - Catonsville, MD",Church,2001 Old Frederick Road,Catonsville,MD,21228,39.2784555,-76.7597829,2,0,0,0,0,0,Free account
7383,Eastern Louisiana Baptist Association - LA,Church,32470 Walker North Road,Walker,LA,70785,30.5496402,-90.8647424,0,0,0,0,0,0,Free account
7393,First Baptist Church,Church,117 E Olive St,Amite City,LA,70422,30.7296021,-90.5081452,0,0,0,0,0,0,Free account
7398,McPheeter&#039;s Bend Missionary Baptist Church,Church,430 Church Rd,Church Hill,TN,37642,36.496486,-82.737413,9,1185,14,0,0,4,Free account
7399,Mt Vernon Baptist Church,Church,215 Mt Vernon Church Rd,West Monroe,LA,71292,32.403093,-92.206199,8,3071,6,0,0,0,Free account
7408,Cherry Hills Community Church,Church,3900 Grace Blvd,Highlands Ranch,CO,80126,39.5374918,-104.9459136,0,0,0,0,0,0,Free account
7411,Webster-Claiborne Baptist Association - LA,Association,1408 Sibley Road,Minden,LA,71055,32.5925637,-93.2900787,71,24459,487,0,0,374,Free account
7412,Cross Church Springdale-Parent AR,Association,1709 Johnson Rd,Springdale,AR,72762,36.168586,-94.1547609,20,39854,378,0,0,370,Free account
7413,Vernon Baptist Association - LA,Association,620 South 3rd Street,Leesville,LA,71446,31.1390177,-93.2610766,33,13874,490,0,0,382,Free account
7422,Two Rivers Baptist Association - LA,Association,2116 Washington Street,Franklinton,LA,70438,30.8467746,-90.1344727,3,1443,381,0,0,375,Free account
7425,Acadia Baptist Association - LA,Association,4549 Veterans Memorial Highway,Mamou,LA,70554,30.610211,-92.4321202,30,27335,545,0,0,427,Free account
7426,Baptist Association of Greater Baton Rouge - LA,Association,10560 Airline Highway,Baton Rouge,LA,70816,30.4095298,-91.0637217,91,17132,840,0,0,688,Free account
