date,delay,distance,origin,destination
1011048,24,303,MSY,HOU
1011048,4,612,BNA,TPA
1011050,0,562,ELP,DAL
1011050,18,580,ABQ,DAL
1011050,7,304,PHX,SAN
1011052,8,192,HOU,SAT
1011052,8,223,LAS,BUR
1011055,0,288,BWI,ALB
1011055,0,866,SEA,LAS
1011055,5,925,BWI,FLL
1011055,9,223,BUR,LAS
1011057,6,333,SJC,ONT
1011100,0,332,MAF,ABQ
1011100,11,224,GEG,SEA
1011100,19,1050,BDL,MCO
1011104,10,714,LAX,ELP
1011104,4,453,TUL,HOU
1011104,5,493,SLC,ABQ
1011105,0,341,LBB,AUS
1011105,5,636,ELP,SAN
1011107,29,919,SLC,MCI
1011110,0,337,LAX,OAK
1011110,3,256,LAS,PHX
1011110,4,287,GEG,BOI
1011110,50,291,BOI,SLC
1011110,69,723,GEG,OAK
1011113,12,1073,PVD,MCO
1011113,6,351,TUL,STL
1011115,12,189,DAL,AUS
1011115,14,239,DAL,HOU
1011115,18,325,OAK,BUR
1011115,30,787,BWI,MCO
1011117,5,859,ISP,JAX
1011120,10,1246,BWI,HOU
1011121,11,369,PHX,BUR
1011125,12,307,MDW,CLE
1011125,12,496,SAT,ELP
1011125,8,361,ONT,OAK
1011125,9,368,LAS,SLC
1011128,13,611,BWI,MDW
1011128,25,580,DAL,ABQ
1011130,0,148,HOU,AUS
1011130,0,239,DAL,HOU
1011130,0,239,HOU,DAL
1011130,0,256,PHX,LAS
1011130,0,359,HOU,JAN
1011130,2,1848,MCO,PHX
1011133,59,405,MDW,MCI
1011134,9,446,SAN,OAK
1011135,0,787,MCO,BWI
1011135,3,775,LBB,LAS
1011135,5,283,BWI,BDL
1011136,43,108,ISP,PVD
1011138,6,342,STL,OMA
1011138,8,471,MSY,BNA
1011139,24,630,PDX,SLC
1011140,0,371,OAK,SNA
1011140,0,677,ABQ,LAX
1011145,12,276,HOU,HRL
1011145,15,251,STL,MDW
1011145,7,284,MDW,CMH
1011150,2,181,OKC,DAL
1011150,2,325,BUR,OAK
1011150,5,1444,PHX,MDW
1011150,5,1479,SJC,MCI
1011150,5,423,OMA,MDW
1011152,18,543,PDX,OAK
1011154,23,647,PHX,SMF
1011154,7,1407,SAT,BWI
1011155,13,487,STL,CLE
1011155,23,588,OAK,SLC
1011155,5,417,SAN,SJC
1011155,8,304,SAN,PHX
1011156,36,325,PHX,ONT
1011200,0,197,TPA,FLL
1011200,0,373,SMF,LAX
1011200,11,419,HOU,OKC
1011203,5,1999,PHX,BWI
1011205,0,1099,LAS,OMA
1011205,29,723,OAK,GEG
1011205,7,239,DAL,HOU
1011205,9,1073,MCO,ALB
1011206,0,337,OAK,LAX
1011206,6,236,LAS,LAX
1011208,4,303,HOU,MSY
1011210,0,389,SMF,ONT
1011210,14,1156,SLC,STL
1011210,18,663,BWI,JAX
1011210,4,833,OKC,PHX
1011210,47,584,LAS,ELP
1011212,2,325,BUR,OAK
1011212,5,689,SEA,SLC
1011213,2,1140,LAS,MCI
1011215,0,251,STL,MDW
1011215,0,293,LBB,DAL
1011215,2,180,OAK,RNO
1011215,2,377,BWI,MHT
1011215,6,258,LAS,SAN
1011215,6,478,MCO,BHM
1011215,8,1069,LAS,SAT
1011216,43,370,PHX,LAX
1011218,11,258,SAN,LAS
1011218,25,487,TPA,MSY
1011220,0,1142,MCO,MHT
1011220,0,229,DTW,MDW
1011220,0,236,LAX,LAS
1011220,12,223,ELP,ABQ
1011220,15,407,LAS,OAK
1011220,3,708,MSY,IND
1011220,7,187,HOU,CRP
1011221,18,543,OAK,PDX
1011223,45,368,SLC,LAS
1011225,12,256,PHX,LAS
1011225,20,347,PHX,ELP
1011225,4,446,SAN,OAK
1011225,5,480,SMF,SAN
1011225,8,273,AUS,HRL
1011228,38,108,PVD,ISP
1011230,10,255,BWI,RDU
1011230,2,395,MDW,BNA
1011230,3,342,SJC,SNA
1011230,5,345,RNO,LAS
1011230,5,803,ISP,BNA
1011230,6,370,PHX,LAX
1011230,8,697,SEA,SJC
1011230,9,197,ONT,LAS
1011232,12,197,LAS,ONT
1011232,23,1044,PHX,MCI
1011235,0,1797,BNA,LAX
1011237,10,1262,STL,PHX
1011238,0,737,BWI,STL
1011238,31,361,ONT,OAK
1011240,10,447,SAN,SFO
1011240,3,484,JAX,BNA
1011240,4,229,STL,IND
1011240,5,1977,SEA,BNA
1011243,21,587,RDU,TPA
1011245,0,1072,MCI,MCO
1011245,0,1137,PVD,TPA
1011245,0,1301,PHX,MSY
1011245,10,189,AUS,DAL
1011245,12,601,RNO,PHX
1011245,5,479,PDX,SMF
1011245,8,423,MDW,OMA
1011248,16,347,ELP,PHX
1011249,1,828,IND,MCO
1011250,0,344,BOI,PDX
1011250,5,276,HOU,HRL
1011252,14,358,BUR,SMF
1011253,23,480,SAN,SMF
1011254,15,869,TPA,STL
1011255,11,304,PHX,SAN
1011255,4,446,OAK,SAN
1011255,40,628,SAN,ABQ
1011255,5,1751,ONT,BNA
1011258,13,843,SAT,PHX
1011300,0,239,DAL,HOU
1011300,0,580,DAL,ABQ
1011300,1,308,SJC,LAX
1011300,4,328,ABQ,PHX
1011300,5,1069,SAT,LAS
1011300,7,762,LAS,PDX
1011303,15,178,MCO,FLL
1011304,0,590,SLC,LAX
1011304,10,935,PHX,TUL
1011304,40,256,LAS,PHX
1011305,19,1262,PHX,STL
1011308,9,370,LAX,PHX
1011310,0,296,LIT,DAL
1011310,10,386,SJC,LAS
1011310,4,342,OMA,STL
1011312,36,852,BDL,BNA
1011312,7,370,PHX,LAX
1011315,0,223,LAS,BUR
1011315,22,632,MDW,RDU
1011315,5,237,DAL,TUL
1011315,7,333,SJC,ONT
1011317,71,313,MCI,OKC
1011318,45,370,LAX,PHX
1011320,0,197,FLL,TPA
1011320,0,303,HOU,MSY
1011320,10,405,MCI,MDW
1011320,15,369,PHX,BUR
1011320,4,283,BDL,BWI
1011320,9,588,BNA,BWI
1011325,0,417,SAN,SJC
1011325,0,718,MCI,ABQ
1011325,14,487,LAS,ABQ
1011325,18,180,OAK,RNO
1011325,2,389,SMF,ONT
1011325,27,647,SMF,PHX
1011325,3,440,STL,DTW
1011325,56,361,OAK,ONT
1011327,6,478,BHM,MCO
1011328,11,342,SNA,SJC
1011328,12,304,SAN,PHX
1011329,5,345,LAS,RNO
1011330,0,480,SMF,SAN
1011330,0,646,OAK,PHX
1011330,2,236,LAX,LAS
1011330,22,367,SAN,TUS
1011330,3,444,RNO,PDX
1011330,5,328,BWI,PVD
1011332,27,1093,ISP,FLL
1011334,31,344,PDX,BOI
1011334,40,303,MSY,HOU
1011335,0,1107,PHX,SEA
1011335,0,187,CRP,HOU
1011335,0,325,BUR,OAK
1011335,1,328,PVD,BWI
1011335,6,460,TPA,BHM
1011337,2,359,JAN,HOU
1011340,0,293,LBB,DAL
1011340,0,737,STL,BWI
1011340,10,544,LIT,MDW
1011340,2,258,LAS,SAN
1011340,2,279,GEG,PDX
1011343,0,462,OKC,STL
1011343,27,181,DAL,OKC
1011343,6,256,LAS,PHX
1011343,7,273,HRL,AUS
1011344,20,307,MDW,CLE
1011345,14,370,PHX,LAX
1011345,20,368,LAS,SLC
1011345,20,677,ABQ,LAX
1011349,7,325,OAK,BUR
1011350,10,335,RNO,BOI
1011350,12,447,SAN,SFO
1011350,2,188,SJC,RNO
1011350,6,276,HOU,HRL
1011350,7,236,LAS,LAX
1011352,14,197,TPA,FLL
1011352,24,417,SJC,SAN
1011353,17,407,LAS,OAK
1011354,20,313,OKC,MCI
1011355,0,332,ABQ,MAF
1011355,10,496,SAT,ELP
1011355,10,611,MDW,BWI
1011355,14,448,BNA,CLE
1011355,19,361,ONT,OAK
1011355,4,534,RDU,MCO
1011355,5,197,ONT,LAS
1011357,25,337,OAK,LAX
1011357,5,1333,SAN,MCI
1011358,10,373,LAX,SMF
1011359,5,390,RNO,LAX
1011400,0,192,SAT,HOU
1011400,1,304,PHX,SAN
1011400,13,248,SAT,DAL
1011400,14,293,DAL,LBB
1011400,2,491,MCI,BNA
1011400,32,671,OAK,SEA
1011400,9,616,MCO,BNA
1011401,20,562,ELP,DAL
1011403,14,714,LAX,ELP
1011404,0,239,HOU,DAL
1011405,0,1235,LAS,HOU
1011405,13,1037,PHX,OMA
1011405,2,192,HOU,SAT
1011405,2,296,BUR,SJC
1011406,18,358,BUR,SMF
1011406,30,237,MCI,STL
1011407,12,314,CLE,BWI
1011408,40,550,MCO,MSY
1011408,8,256,PHX,LAS
1011409,14,829,CMH,TPA
1011409,2,254,SDF,STL
1011410,0,371,SNA,OAK
1011410,4,187,HOU,CRP
1011410,5,277,AMA,ABQ
1011410,5,677,LAX,ABQ
1011413,13,308,LAX,SJC
1011414,5,1301,MSY,PHX
1011415,15,584,LAS,ELP
1011415,6,1048,TPA,MCI
1011416,20,337,LAX,OAK
1011417,22,1489,OAK,MCI
1011418,20,178,FLL,MCO
1011419,9,670,BNA,HOU
1011420,0,283,BWI,BDL
1011420,2,324,DAL,AMA
1011423,19,511,OAK,BOI
1011423,7,1489,PHX,IND
1011425,0,328,ABQ,PHX
1011425,0,405,MDW,MCI
1011425,10,405,MCI,MDW
1011425,10,457,BNA,DTW
1011425,15,423,OMA,MDW
1011425,4,628,SAN,ABQ
1011426,2,407,LAS,OAK
1011426,21,337,OAK,LAX
1011430,8,480,SAN,SMF
1011431,26,368,SLC,LAS
1011433,11,422,RNO,SLC
1011435,0,588,BNA,BWI
1011435,1,325,BUR,OAK
1011435,1,358,SMF,BUR
1011435,10,177,BNA,BHM
1011435,11,480,SMF,SAN
1011435,2,370,PHX,LAX
1011435,20,236,LAX,LAS
1011435,20,543,PDX,OAK
1011435,23,224,GEG,SEA
1011435,4,682,BHM,BWI
1011440,0,304,SAN,PHX
1011440,0,389,ONT,SMF
1011440,10,254,STL,SDF
1011440,30,318,JAX,FLL
1011440,57,251,STL,MDW
1011440,6,417,SAN,SJC
1011443,13,237,TUL,DAL
1011443,31,479,SMF,PDX
1011443,6,351,STL,TUL
1011444,0,671,SEA,OAK
1011444,23,256,LAS,PHX
1011444,71,419,OKC,HOU
1011445,12,308,SJC,LAX
1011445,13,697,SJC,SEA
1011445,2,584,ELP,LAS
1011449,10,237,MCI,STL
1011449,29,1448,BNA,PHX
1011449,4,288,BWI,ALB
1011449,8,682,BWI,BHM
1011450,14,276,HOU,HRL
1011450,4,251,MDW,STL
1011450,9,938,BNA,MHT
1011451,10,325,OAK,BUR
1011451,7,1073,MCO,PVD
1011453,40,507,SLC,PHX
1011455,0,197,LAS,ONT
1011455,3,437,MSY,DAL
1011455,37,651,PHX,SFO
1011455,44,325,ONT,PHX
1011455,7,842,BWI,TPA
1011456,14,587,TPA,RDU
1011456,24,337,OAK,LAX
1011457,1,279,GEG,PDX
1011458,20,307,CLE,MDW
1011459,0,399,SEA,BOI
1011459,4,405,MCI,MDW
1011500,0,496,ELP,SAT
1011500,3,407,LAS,OAK
1011500,30,1864,SLC,BWI
1011500,6,328,PVD,BWI
1011502,38,223,MCI,TUL
1011502,57,528,ELP,AUS
1011503,10,192,SAT,HOU
1011504,7,189,AUS,DAL
1011505,0,229,IND,STL
1011505,0,281,BUF,BWI
1011505,0,365,LAS,TUS
1011505,2,296,LIT,DAL
1011505,2,437,DAL,MSY
1011505,3,328,ABQ,PHX
1011505,4,188,SJC,RNO
1011505,42,181,OKC,DAL
1011505,6,239,HOU,DAL
1011507,5,223,LAS,BUR
1011510,0,276,HRL,HOU
1011510,12,197,FLL,TPA
1011510,21,1009,PHX,PDX
1011510,4,188,RNO,SJC
1011510,45,447,SFO,SAN
1011510,5,345,RNO,LAS
1011512,14,291,SLC,BOI
1011512,22,342,SJC,SNA
1011514,42,236,LAS,LAX
1011514,8,337,LAX,OAK
1011515,11,842,MDW,PVD
1011515,30,308,LAX,SJC
1011515,5,187,HOU,CRP
1011515,6,324,DAL,AMA
1011515,7,1034,ISP,TPA
1011515,9,423,OMA,MDW
1011515,9,843,PHX,SAT
1011518,16,361,OAK,ONT
1011518,34,1246,HOU,BWI
1011518,9,671,OAK,SEA
1011520,0,187,CRP,HOU
1011520,10,293,LBB,DAL
1011520,5,480,SAN,SMF
1011522,14,919,MCI,SLC
1011524,3,677,HOU,ELP
1011525,11,880,MCO,STL
1011525,40,303,MSY,HOU
1011525,5,296,DAL,LIT
1011525,7,888,BWI,JAN
1011529,13,787,MCO,BWI
1011529,15,256,PHX,LAS
1011530,0,370,LAX,PHX
1011530,0,666,MDW,JAN
1011530,12,515,IND,BWI
1011530,18,491,BNA,MCI
1011530,2,843,SAT,PHX
1011532,3,543,PDX,OAK
1011533,24,258,SAN,LAS
1011535,26,229,STL,IND
1011535,8,368,SLC,LAS
1011535,8,534,MCO,RDU
1011538,22,446,OAK,SAN
1011538,5,417,SJC,SAN
1011540,10,1262,STL,PHX
1011540,12,479,SMF,PDX
1011540,16,308,SJC,LAX
1011541,2,347,ELP,PHX
1011542,2,564,SEA,RNO
1011542,27,993,MCO,AUS
1011542,3,361,ONT,OAK
1011543,12,419,HOU,OKC
1011543,17,386,LAS,SJC
1011543,26,373,SMF,LAX
1011545,0,217,DAL,IAH
1011545,10,1797,LAX,BNA
1011545,3,307,MDW,CLE
1011547,14,321,BHM,MSY
1011550,2,495,SDF,BWI
1011550,5,223,LAS,BUR
1011550,5,448,BNA,CLE
1011550,52,370,PHX,LAX
1011550,8,328,PVD,BWI
1011552,12,347,PHX,ELP
1011553,6,588,BNA,BWI
1011555,0,325,PHX,ONT
1011555,1,325,OAK,BUR
1011555,11,189,DAL,AUS
1011555,19,1670,ABQ,BWI
1011555,27,314,BWI,CLE
1011555,3,328,BWI,PVD
1011555,4,328,PHX,ABQ
1011556,0,407,OAK,LAS
1011556,3,271,MDW,SDF
1011559,13,446,SAN,OAK
1011600,1,251,MDW,STL
1011600,1,580,ABQ,DAL
1011600,12,1618,BHM,LAS
1011600,12,283,BDL,BWI
1011600,17,324,AMA,DAL
1011600,19,236,LAX,LAS
1011600,23,872,PHX,AUS
1011600,25,507,PHX,SLC
1011600,3,371,OAK,SNA
1011600,5,303,MSY,HOU
1011600,6,256,PHX,LAS
1011602,17,256,LAS,PHX
1011604,15,251,STL,MDW
1011604,35,337,OAK,LAX
1011605,15,229,MDW,DTW
1011607,20,321,TUS,ABQ
1011608,0,239,HOU,DAL
1011610,17,471,BNA,MSY
1011610,3,197,TPA,FLL
1011610,5,236,LAS,LAX
1011610,6,237,DAL,TUL
1011611,7,304,SAN,PHX
1011612,0,178,MCO,FLL
1011613,19,520,BOI,LAS
1011614,14,276,HRL,HOU
1011615,10,258,LAS,SAN
1011615,15,162,MDW,IND
1011615,21,616,MCO,BNA
1011615,24,590,LAX,SLC
1011615,3,569,SJC,PDX
1011615,35,318,FLL,JAX
1011615,52,1912,PHX,BUF
1011616,10,570,BHM,HOU
1011616,9,1999,PHX,BWI
1011617,63,251,MDW,STL
1011618,12,358,BUR,SMF
1011618,31,303,HOU,MSY
1011618,8,197,ONT,LAS
1011619,12,288,ALB,BWI
1011620,0,1072,MCO,MCI
1011620,10,630,PDX,SLC
1011620,13,287,BOI,GEG
1011620,14,443,RDU,BNA
1011620,5,296,SJC,BUR
1011620,51,239,DAL,HOU
1011620,6,611,MDW,BWI
1011620,7,345,LAS,RNO
1011621,11,935,TUL,PHX
1011624,12,446,OAK,SAN
1011624,7,588,BWI,BNA
1011625,0,248,DAL,SAT
1011625,2,187,CRP,HOU
1011625,25,370,PHX,LAX
1011625,5,351,TUL,STL
1011625,5,487,TPA,MSY
1011625,6,451,TUS,LAX
1011625,63,453,HOU,TUL
1011626,16,237,MCI,STL
1011626,20,328,ABQ,PHX
1011626,5,389,SMF,ONT
1011627,36,224,SEA,GEG
1011628,31,236,LAS,LAX
1011628,49,237,TUL,DAL
1011630,0,239,DAL,HOU
1011630,20,1797,BNA,LAX
1011630,43,447,SFO,SAN
1011630,5,550,MCO,MSY
1011630,7,386,SJC,LAS
1011631,14,487,CLE,STL
1011631,9,296,BUR,SJC
1011632,27,337,OAK,LAX
1011634,3,361,ONT,OAK
1011634,49,507,SLC,PHX
1011637,46,451,LAX,TUS
1011638,0,423,MDW,OMA
1011638,13,189,DAL,AUS
1011640,17,972,TPA,SAT
1011640,2,440,DTW,STL
1011640,30,479,PDX,SMF
1011640,4,255,BWI,RDU
1011641,7,180,OAK,RNO
1011642,14,1448,PHX,BNA
1011642,7,437,DAL,MSY
1011643,4,287,GEG,BOI
1011644,24,1210,LAX,SAT
1011645,0,487,STL,CLE
1011645,1,1552,MCO,ABQ
1011645,10,344,BOI,PDX
1011645,12,756,AUS,BNA
1011645,15,437,MSY,DAL
1011645,18,371,SNA,OAK
1011645,5,925,BWI,FLL
1011648,15,765,MDW,ISP
1011650,0,405,MDW,MCI
1011650,10,223,LAS,BUR
1011652,21,838,TPA,IND
1011653,14,325,ONT,PHX
1011654,37,308,LAX,SJC
1011655,11,324,AMA,DAL
1011655,20,296,DAL,LIT
1011655,29,188,RNO,SJC
1011655,3,446,OAK,SAN
1011655,45,447,SAN,SFO
1011659,17,368,LAS,SLC
1011659,7,1020,PHX,HOU
1011700,15,1020,HOU,PHX
1011700,15,337,OAK,LAX
1011700,5,197,FLL,TPA
1011702,46,304,PHX,SAN
1011702,57,308,SJC,LAX
1011704,62,337,LAX,OAK
1011705,0,108,ISP,PVD
1011705,0,192,HOU,SAT
1011705,0,217,IAH,DAL
1011705,0,397,SMF,LAS
1011705,14,1093,FLL,ISP
1011705,14,377,BWI,MHT
1011705,17,448,CLE,BNA
1011705,6,358,BUR,SMF
1011705,8,423,OMA,MDW
1011708,0,192,SAT,HOU
1011708,10,197,LAS,ONT
1011710,27,370,PHX,LAX
1011710,3,1044,MCI,PHX
1011710,5,295,ELP,LBB
1011710,6,636,ELP,SAN
1011714,0,543,OAK,PDX
1011714,12,395,MDW,BNA
1011714,20,251,STL,MDW
1011715,0,319,MAF,DAL
1011715,10,1156,SLC,STL
1011715,14,495,SDF,BWI
1011715,18,543,PDX,OAK
1011715,2,328,PHX,ABQ
1011715,5,325,BUR,OAK
1011715,5,718,ABQ,MCI
1011717,15,359,JAN,HOU
1011717,20,689,SLC,SEA
1011719,8,520,LAS,BOI
1011720,0,328,BWI,PVD
1011720,12,405,MCI,MDW
1011720,12,762,PDX,LAS
1011720,16,528,AUS,ELP
1011720,22,236,LAS,LAX
1011720,25,443,BNA,RDU
1011720,5,935,PHX,TUL
1011721,3,284,MDW,CMH
1011722,20,308,SJC,LAX
1011722,5,239,DAL,HOU
1011723,1,239,HOU,DAL
1011723,18,437,MSY,DAL
1011724,10,511,BOI,OAK
1011724,13,313,OKC,MCI
1011724,17,337,LAX,OAK
1011724,18,237,STL,MCI
1011725,0,345,LAS,RNO
1011725,0,361,OAK,ONT
1011725,14,359,HOU,JAN
1011725,19,480,SAN,SMF
1011725,22,307,MDW,CLE
1011725,27,390,LAX,RNO
1011726,0,256,LAS,PHX
1011726,22,325,PHX,ONT
1011726,6,373,LAX,SMF
1011728,35,258,SAN,LAS
1011728,5,570,HOU,BHM
1011728,7,283,BWI,BDL
1011730,18,457,DTW,BNA
1011730,2,239,HOU,DAL
1011730,22,248,DAL,SAT
1011730,48,647,PHX,SMF
1011731,2,283,BDL,BWI
1011731,29,236,LAX,LAS
1011733,20,189,DAL,AUS
1011734,12,550,MSY,MCO
1011735,10,588,BWI,BNA
1011735,12,291,BOI,SLC
1011735,18,842,MDW,PVD
1011735,3,319,DAL,MAF
1011735,32,279,PDX,GEG
1011737,8,178,FLL,MCO
1011738,2,515,BWI,IND
1011738,30,440,STL,DTW
1011738,47,441,HOU,MAF
1011738,7,342,SNA,SJC
1011738,9,303,MSY,HOU
1011739,41,484,JAX,BNA
1011740,0,367,TUS,SAN
1011740,12,446,SAN,OAK
1011740,5,407,LAS,OAK
1011740,7,296,BUR,SJC
1011740,7,318,FLL,JAX
1011740,8,842,BWI,TPA
1011742,23,307,CLE,MDW
1011744,10,370,LAX,PHX
1011745,13,491,MCI,BNA
1011745,16,670,BNA,HOU
1011745,37,370,LAX,PHX
1011745,4,389,ONT,SMF
1011745,5,197,FLL,TPA
1011746,20,457,BNA,DTW
1011747,47,239,DAL,HOU
1011748,5,671,SEA,OAK
1011749,10,647,SMF,PHX
1011750,0,276,HOU,HRL
1011750,0,328,ABQ,PHX
1011750,0,328,PVD,BWI
1011750,12,787,BWI,MCO
1011750,20,934,STL,ABQ
1011750,31,224,GEG,SEA
1011750,4,251,STL,MDW
1011751,13,296,STL,LIT
1011751,48,677,ELP,HOU
1011752,18,229,IND,STL
1011755,12,444,RNO,PDX
1011755,13,1588,BNA,LAS
1011755,6,588,SLC,OAK
1011755,9,588,BNA,BWI
1011757,11,328,BWI,PVD
1011757,14,296,LIT,DAL
1011759,19,361,ONT,OAK
1011759,40,368,SLC,LAS
1011800,0,337,LAX,OAK
1011800,0,562,ELP,DAL
1011800,2,479,SMF,PDX
1011800,21,288,BWI,ALB
1011800,3,223,BUR,LAS
1011800,32,189,AUS,DAL
1011800,4,237,STL,MCI
1011801,9,223,ELP,ABQ
1011803,5,347,ELP,PHX
1011805,0,162,MDW,IND
1011805,5,256,LAS,PHX
1011805,59,223,TUL,MCI
1011805,9,417,SJC,SAN
1011805,9,440,STL,DTW
1011809,29,308,SJC,LAX
1011810,0,108,PVD,ISP
1011810,2,148,AUS,HOU
1011810,2,967,BWI,MCI
1011810,22,304,PHX,SAN
